IATA;nom de la compagnie;Nom complet;poid cabine;Taille du bagage à main;taille soute;Poids max. autorisé des bagages en soute; Services à bord;WIFI;Alliance;numéro de téléphone;Site Web;Nationalité;Aéroport de base;Siège Social ;Date de création;fin d'activité;PONCTUALITÉ momondo;VOLS RETARDÉS momondo;VOLS ANNULÉS momondo;Age moyen de la flotte;taille de la flotte;programme de fidelité;avion 1;quantité 1;avion 2;quantité 2;avion 3;quantité 3;avion 4;quantité 4;avion 5;quantité 5;avion 6;quantité 6;avion 7;quantité 7;avion 8;quantité 8;avion 9;quantité 9;avion 10;quantité 10;avion 11;quantité 11;avion 12;quantité 12;avion 13;quantité 13;avion 14;quantité 14;avion 15;quantité 15
EY;Etihad Airways;;10kg;50 x 40 x 21 cm;90 x 72 x 45 cm;30 kg; Repas et boissons inclus dans le billet  ;OUI;;+33 1 57 32 43 43;etihad.com;;Abou Dabi (AUH) ;;37803;;0,75;0,1;0,02;4.6 ;63;Etihad Guest ; Airbus A319-100 ;2; Airbus A320-200 ;15; Airbus A330-200 ;18; Airbus A330-300 ;6; Airbus A340-500 ;4; Airbus A340-600 ;7; Boeing 777-200 ;1; Boeing 777-300 ;10;;;;;;;;;;;;;;
EZ;Sun Air of Scandinavia;SUN-AIR of Scandinavia A/S ;;;;;  ;NON;;+45 76 50 01 00;sunair.dk;;;;1978;;;;;18.8 ;;; British Aerospace Jetstream 31 ;1; Dornier Do-328 ;3; Dornier Do-328JET ;12;;;;;;;;;;;;;;;;;;;;;;;;
F7;Baboo;Flybaboo S.A. ;8 kg;;;20kg; Offert   Restauration et Boissons ;NON;;;;;Genève (GVA) ;;2003;40629;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F9;Frontier Airlines;;15kgs;60cm x 40cm x 25cm ;;22 kg;  ;OUI;;18004321359;flyfrontier.com;Etats Unis;Denver (DEN) ;Denver (Colorado);1994;;;;;8.4 ;54;; Airbus A319-100 ;35; Airbus A320-200 ;19;;;;;;;;;;;;;;;;;;;;;;;;;;
FA;Safair;;;;;;  ;NON;;+27 11 928 0000;flysafair.co.za;;;;;;;;;28.9 ;;; Boeing 737-200 ;2; Boeing 737-300 ;2; Boeing 737-400 ;2;;;;;;;;;;;;;;;;;;;;;;;;
FB;Bulgaria Air;________ __ ;10 kg;55 x 40 x 20 cm;158 cm cumulés;23 kg;  ;NON;;33153162050;air.bg;Bulgarie;Sofia (SOF) ;Bulgarie Sofia;2002;;;;;5;10;; Airbus A319-100 ;3; Airbus A320-200 ;3; Embraer ERJ-190 ;4;;;;;;;;;;;;;;;;;;;;;;;;
FD;Thai AirAsia;;7kgs;56cm x 36cm x 23cm ;;;  ;NON;;;airasia.com;;Bangkok - Don Mueang (DMK) ;;37963;;;;;3.2 ;37;; Airbus A320-200 ;37;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FH;Freebird Airlines;;;;;;  ;NON;;+90 212 663 77 77;;;;;;;;;;7.2 ;;; Airbus A320-200 ;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FI;Icelandair;Flugleiðir, H.F. ;10 kg;115 cm cumulés;158 cm cumulés;32kg; Repas à la charge du client  ;OUI;;+33 1 44 51 60 51;icelandair.fr;Islande;Reykjavik - Keflavik (KEF) ;Reykjavík;13669;;;;;16.1 ;20;Saga Club ; Boeing 757-200 ;18; Boeing 757-300 ;1;;;;;;;;;;;;;;;;;;;;;;;;;;
FJ;Fiji Airways;Air Pacific Ltd ;7kgs;55cm x 45cm x 25cm ;;;  ;NON;;6796720777;fijiairways.com;;Nadi (NAN) ;;1951;;;;;7.4 ;7;; Airbus A330-200 ;3; Boeing 737-700 ;1; Boeing 737-800 ;3;;;;;;;;;;;;;;;;;;;;;;;;
FL;Airtran Airways;;7 kg;;;20 kg; Offert Boissons sans alcool (sodas, eau, thé). Tous autre service est payant  ;OUI;;;;;Atlanta - Hartsfield-Jackson (ATL) ;;1993;;;;;7.6 ;138;A+ Rewards ; Boeing 717-200 ;88; Boeing 737-700 ;50;;;;;;;;;;;;;;;;;;;;;;;;;;
FM;Shanghai Airlines;;;20 cm x 40 cm x 55 cm;;20 kg;  ;NON;;+86 21 6255 8888;shanghai-air.com;Chine;Shanghaï - Pudong (PVG) ;Shanghai;1985;;;;;7.5 ;78;; Airbus A330-200 ;2; Airbus A330-300 ;2; Boeing 737-700 ;9; Boeing 737-800 ;48; Boeing 757-200 ;7; Boeing 767-300 ;7; Canadair CRJ-200 ;3;;;;;;;;;;;;;;;;
FN;fastjet;Fly 540 Tanzania Ltd ;;;;;  ;NON;;2,55686E+11;fastjet.com;;Salaam (DAR) ;;2011;;;;;12.5 ;3;; Airbus A319-100 ;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FP;TAG Aviation;TAG Aviation S.A. ;;;;;  ;NON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FR;ryanair;;10 kg;55 x 40 x 20 cm;;20 kg; Tous les services sont payants  ;NON;;892780210;ryanair.com;Irlande;Dublin (DUB) ;Aéroport de Dublin;1985;;;;;3.9 ;294;; Boeing 737-800 ;294;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FS;ItAli Airlines;;7 kg;55 x 40 x 20 cm;;20 kg; Tous les services sont payants  ;NON;;;;;Rome - Fiumicino (FCO) ;;2003;40613;;;;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FT;ASL Airlines Switzerland;ASL Airlines (Switzerland) AG ;;;;;  ;NON;;+2 2 226 944 65;flyegypt.today;;;;1984;;;;;23.5 ;13;; ATR 42/72-ATR 42 ;1; ATR 42/72-ATR 72 ;12;;;;;;;;;;;;;;;;;;;;;;;;;;
FV;Rossiya - Russian Airlines;Federal State Unitary Enterprise State Transport Company Rossiya ;8 kg;55 x 40 x 20 cm;203 cm cumulés;30 kg;  ;NON;;3314862599;rossiya-airlines.com;;;;;;;;;13.5 ;23;; Airbus A319-100 ;16; Airbus A320-200 ;7;;;;;;;;;;;;;;;;;;;;;;;;;;
FW;Ibex Airlines (ANA Connection);Ibex Airlines Co., Ltd. ;;;;;  ;NON;;0120-686-009;ibexair.co.jp;;;;36189;;;;;3.2 ;9;; Canadair CRJ-200 ;2; Canadair CRJ-700 ;7;;;;;;;;;;;;;;;;;;;;;;;;;;
FY;Firefly;;;;;;  ;NON;;+60 3 7840 4241;fireflyz.com;;;;2007;;;;;5.1 ;15;; ATR 42/72-ATR 72 ;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FZ;flydubai;;;56 cm x 45 cm x 25 cm;;32;  ;NON;;+971 4 295 1111;flydubai.com;Dubaï et les Emirats;Dubaï (DXB) ;Dubai;39526;;;;;2.5 ;36;; Boeing 737-800 ;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;
G3;GOL;;;56cm x 45cm x 25cm ;;23 kg; Repas à la charge du client  ;NON;;+44 (0) 1293 874 920;voegol.com.br;Brésil;São Paulo - Congonhas (CGH) ;São Paulo;2000;;;;;7.4 ;105;Smiles ; Boeing 737-700 ;34; Boeing 737-800 ;68; Boeing 767-200 ;1; Boeing 767-300 ;1;;;;;;;;;;;;;;;;;;;;;;
G4;Allegiant Air;;7 kg;;;23 kg; Offert  Boissons sans alcool et en-cas. Tous autre service est payant  ;NON;;;allegiantair.com;;Las Vegas - McCarran (LAS) ;;1998;;;;;22.4 ;64;; Boeing 757-200 ;2; McDonnell-Douglas MD-82 ;9; McDonnell-Douglas MD-83 ;40; McDonnell-Douglas MD-87 ;3; McDonnell-Douglas MD-88 ;6;;;;;;;;;;;;;;;;;;;;
G5;China Express Airlines;;;;;;  ;NON;;;chinaexpressair.com;;;;38838;;;;;2.6 ;24;; Canadair CRJ-200 ;4; Canadair CRJ-900 ;20;;;;;;;;;;;;;;;;;;;;;;;;;;
G8;GoAir;;;;;;  ;NON;;1800222111;goair.in;;Bombay (BOM) ;;38139;;;;;3;18;; Airbus A320-200 ;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;
G9;Air Arabia;;10 kg;55 x 40 x 20 cm;160 cm cumulés;32 kg; Tous les services à bord sont payants  ;NON;;899190023;airarabia.com;Dubaï et les Emirats;Charjah (SHJ) ;Aéroport International de Charjah;37655;;;;;3;26;; Airbus A320-200 ;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GA;Garuda Indonesia;;7kgs;56cm x 36cm x 23cm;;20kg; Repas et boissons inclus dans le billet  ;NON;Skyteam;0 804 1 807 807;garuda-indonesia.com;Indonésie Bali;Surabaya (SUB) ;Jakarta, Indonésie;2001;;;;;15;13;Garuda Frequent Flyer ; Airbus A320-200 ;4; Boeing 737-300 ;5; Boeing 737-400 ;4;;;;;;;;;;;;;;;;;;;;;;;;
GB;ABX Air;;;;;;  ;NON;;;;;;;37849;;;;;30;31;; Boeing 767-200 ;22; Boeing 767-300 ;9;;;;;;;;;;;;;;;;;;;;;;;;;;
GE;TransAsia Airways;;;;;;  ;NON;;;;;;;33604;;;;;10.7 ;21;; Airbus A320-200 ;4; Airbus A321-100 ;5; Airbus A321-200 ;1; Airbus A330-300 ;2; ATR 42/72-ATR 72 ;9;;;;;;;;;;;;;;;;;;;;
GF;Gulf Traveller;;6 kg;45 x 40 x 30 cm;273 cm cumulés;23 kg;  ;OUI;;49524141;gulfair.com;Andorre;Aéroport international de Bahreïn;Bahreïn Manama;37773;;;;;;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GJ;Loong Air;Zhejiang Loong Airlines Co., Ltd. ;;;;;  ;NON;;8,65719E+12;loongair.cn;;;;41637;;;;;5;15;; Airbus A320-200 ;12; Boeing 737-300 ;3;;;;;;;;;;;;;;;;;;;;;;;;;;
GK;Jetstar Japan;;;;;;  ;NON;;570550538;jetstar.com;;Tokyo - Narita (NRT) ;;2011;;;;;1.3 ;18;; Airbus A320-200 ;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GL;Air Greenland;;;;;;  ;NON;;+299 34 3434;airgreenland.com;;Sondre Stromfjord (SFJ) ;;22221;;;;;16.5 ;5;; Airbus A330-200 ;1; De-Havilland-Canada DHC-8-200 ;4;;;;;;;;;;;;;;;;;;;;;;;;;;
GM;Germania Flug;Germania Flug AG ;;;;;  ;NON;;+41 43 508 3489;germania.ch;;;;41852;;;;;5.6 ;3;; Airbus A319-100 ;2; Airbus A321-200 ;1;;;;;;;;;;;;;;;;;;;;;;;;;;
GR;Aurigny;Aurigny Air Services Limited ;10kgs;48cm x 36cm x 20cm  ;;20 kg; La compagnie offre des boissons sans alcool, thé et café.. Tous autre service (en-cas, alcool) est payant.  ;NON;;4,41482E+11;aurigny.com;Italie;Guernesey (GCI) ;Guernesey;24898;;;;;8;3;; ATR 42/72-ATR 72 ;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GS;Tianjin Airlines;;5kgs;55cm x 40cm x 20cm;;;  ;NON;;;tianjin-air.com;;Tianjin (TSN) ;;2004;;;;;3.4 ;82;; Airbus A320-200 ;9; Embraer ERJ-145 ;23; Embraer ERJ-190 ;50;;;;;;;;;;;;;;;;;;;;;;;;
GU;Aviateca;Empresa Guatemalteca de Aviación S. A. ;;;;;  ;NON;;;;;;;16510;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GW;SkyGreece Airlines;SkyGreece Airlines S.A. ;;;;;  ;NON;;;;;;;41179;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H2;Sky Airline;Sky Airline S.A. ;;43cm*41cm*23cm;;20kg;  ;NON;;(56 2) 2352 5600;skyairline.cl;Chili;Santiago du Chili (SCL) ;Santiago du Chili;2001;;;;;12.3 ;17;; Airbus A319-100 ;11; Airbus A320-200 ;6;;;;;;;;;;;;;;;;;;;;;;;;;;
H3;Harbourair;;;;;;  ;NON;;;;;Vancouver - Harbour Flight Centre (CXH) ;;1982;;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H9;Helitt;;;;;;  ;NON;;+977 1 4004000;himalaya-airlines.com;;Malaga (AGP) ;;2011;;;;;18.8 ;3;; ATR 42/72-ATR 72 ;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HA;Hawaiian Airlines;;8kgs;55cm x 40cm x 20cm ;;23 kg;  ;NON;;;hawaiianair.com;Etats Unis;Honolulu (HNL) ;Honolulu, HI 96820;;;;;;8.9 ;47;; Airbus A330-200 ;17; Boeing 717-200 ;18; Boeing 767-300 ;12;;;;;;;;;;;;;;;;;;;;;;;;
HD;Hokkaido International Airlines - Air Do;Hokkaid_ Kokusai K_k_ Kabushiki-gaisha ;;;;;  ;NON;;120057333;airdo.jp;;;;1996;;;;;12.2 ;13;; Boeing 737-700 ;9; Boeing 767-300 ;4;;;;;;;;;;;;;;;;;;;;;;;;;;
HF;Air Côte d'Ivoire;;;;;;  ;NON;;+225 20 25 10 30;aircotedivoire.com;;Abidjan (ABJ) ;;41030;;;;;11;4;; Airbus A319-100 ;3; Embraer ERJ-170 ;1;;;;;;;;;;;;;;;;;;;;;;;;;;
HG;niki;Niki Luftfahrt GmbH ;8 kg;55 x 40 x 20 cm;;23 kg; Tous les services sont payants  ;NON;;;;;Vienne (VIE) ;;2003;;;;;3;20;; Airbus A320-200 ;9; Airbus A321-200 ;4; Embraer ERJ-190 ;7;;;;;;;;;;;;;;;;;;;;;;;;
HK;Hamburg Airways;;;;;;  ;NON;;1300729924;skippers.com.au;;;;40483;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HM;Air Seychelles;;7kgs;55cm x 40cm x 20cm ;;23 kg; Repas et boissons inclus dans le billet  ;NON;Vanilla Alliance;+33 08 92 700 734;airseychelles.com;;Mahe, Seychelles (SEZ) ;;28383;;;;;13;0;Seychelles Plus ; Boeing 767-300 ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HN;Afghan Jet International;Afghan Jet International Airlines ;;;;;  ;NON;;;;;;;41741;;;;;15.1 ;2;; Canadair CRJ-200 ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HO;Juneyao Airlines;;10kgs;56cm x 45cm x 25cm ;;;  ;NON;;;juneyaoair.com;;;;2005;;;;;3.5 ;34;; Airbus A320-200 ;32; Airbus A321-200 ;2;;;;;;;;;;;;;;;;;;;;;;;;;;
HQ;Thomas Cook Airlines Belgium;;;55 x 40 x 20 cm;;25 kg;  ;NON;;32 9 248 49 30;http://www.thomascookairlines.be/fr/index.jsp;Belgique;Aéroport de Bruxelles;Aéroport de Bruxelles;37237;;;;;10.9 ;4;; Airbus A319-100 ;1; Airbus A320-200 ;3;;;;;;;;;;;;;;;;;;;;;;;;;;
HU;Hainan Airlines;;10kgs;55cm x 40cm x 20cm ;;50kg;  ;NON;;8,68987E+12;hainanairlines.com;Chine;Haikou (HAK) ;Haiku;32782;;;;;5.6 ;150;; Airbus A330-200 ;7; Airbus A330-300 ;7; Airbus A340-600 ;3; Boeing 737-300 ;1; Boeing 737-400 ;2; Boeing 737-700 ;5; Boeing 737-800 ;94; Boeing 767-300 ;3; Boeing 787-8 Dreamliner ;6; Fairchild-Dornier Do-328JET ;22;;;;;;;;;;
HV;transavia;;10 kg;55 x 40 x 25 cm;;32 kg; Tous les services sont payants  ;NON;;892058888;transavia.com;Pays-Bas;Amsterdam - Schiphol (AMS) ;Aéroport d'Amsterdam-Schiphol;1966;;0,86;0,07;;7.6 ;33;; Boeing 737-700 ;10; Boeing 737-800 ;23;;;;;;;;;;;;;;;;;;;;;;;;;;
HX;Hong Kong Airlines;Hong Kong Airlines Limited ;7kgs;56cm x 36cm x 23cm ;;;  ;OUI;;;hongkongairlines.com;;Hong Kong (HKG) ;;38990;;;;;2.4 ;23;; Airbus A320-200 ;6; Airbus A330-200 ;14; Airbus A330-300 ;3;;;;;;;;;;;;;;;;;;;;;;;;
HY;Uzbekistan Airways;;5 kg;55 x 35 x 25 cm;158 cm cumulés;32 kg;  ;NON;;;uzbekistanairways.uk.com;Ouzbékistan;Tashkent (TAS) ;Tachkent;33631;;;;;9.4 ;30;; Airbus A300-600 ;2; Airbus A320-200 ;10; Boeing 757-200 ;6; Boeing 767-300 ;9; British-Aerospace Avro RJ85 ;3;;;;;;;;;;;;;;;;;;;;
HZ;Aurora;Aurora Airlines / ______ ;;;;;  ;NON;;8 (4242) 46 22 89;www.flyaurora.ru;;;;41549;;;;;13.9 ;20;; Airbus A319-100 ;9; Boeing 737-500 ;3; De Havilland Canada DHC-8-200 ;3; De Havilland Canada DHC-8-300 ;4; De Havilland Canada DHC-8-400 ;1;;;;;;;;;;;;;;;;;;;;
I2;Iberia Express;Iberia Express, S.A. ;;56 x 45 x 25 cm;;32 kg;  ;NON;;34954983070;iberiaexpress.com;Espagne;Aéroport international de Madrid-Barajas;Madrid;40993;;;;;12.3 ;20;; Airbus A320-200 ;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I5;AirAsia India;AirAsia (India) Pvt. Ltd. ;;;;;  ;NON;;18605008000;airasia.com;;;;41361;;;;;4.3 ;6;; Airbus A320-200 ;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I8;Izhavia;;;;;;  ;NON;;73412630600;izhavia.su;;;;1992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I9;Air Italy;Air Italy S.p.A ;;;;;  ;NON;;;;;;;;;;;;18.3 ;6;; Boeing 737-300 ;2; Boeing 737-700 ;2; Boeing 767-200 ;1; Boeing 767-300 ;1;;;;;;;;;;;;;;;;;;;;;;
IB;Iberia;Iberia Líneas Aéreas de España, S.A. ;;56 x 45 x 25 cm;158 cm cumulés;23 kg; Repas et boissons inclus dans le billet  ;OUI;OneWorld;0 825 800 965;iberia.fr;Espagne;Madrid (MAD) ;Madrid;10041;;0,77;0,09;0,02;9.3 ;104;Iberia Plus ; Airbus A319-100 ;19; Airbus A320-200 ;29; Airbus A321-200 ;19; Airbus A340-300 ;18; Airbus A340-600 ;17;;;;;;;;;;;;;;;;;;;;
ID;Batik Air;;;;;;  ;NON;;;batikair.com;;Manado - Samratulangi (MDC) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IE;Solomon Airlines;;;;;;  ;NON;;+677 20 031;solomonairlines.com.au;;;;;;;;;22.5 ;2;; Airbus A320-200 ;1; De-Havilland-Canada DHC-8-100 ;1;;;;;;;;;;;;;;;;;;;;;;;;;;
IG;meridiana;;5 kg;55 x 40 x 20 cm;158 cm cumulés;23 kg; Tous les services sont payants  ;NON;;33186260657;airitaly.com/fr-fr/;;Olbia (OLB) ;;33361;40237;;;;24.9 ;6;Hi-Fly ; McDonnell-Douglas MD-82 ;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IK;Ikar;;;;;;  ;NON;;;;;;;34135;;;;;16.1 ;7;; Boeing 737-800 ;2; Boeing 767-300 ;5;;;;;;;;;;;;;;;;;;;;;;;;;;
IN;NAM Air;;;;;;  ;NON;;021-292 79 777;flynamair.com;;;;2013;;;;;20.5 ;5;; Boeing 737-500 ;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IO;IrAero;;;;;;  ;NON;;;;;;;1999;;;;;15.2 ;5;; Canadair CRJ-100 ;1; Canadair CRJ-200 ;4;;;;;;;;;;;;;;;;;;;;;;;;;;
IR;Iran Air;;7 kg;56 x 45 x 25 cm;;23 kg;  ;NON;;01 43 59 69 06;iranair.com;Iran;Téhéran (THR) ;Téhéran;1946;;;;;26.1 ;48;; Airbus A300-600 ;4; Airbus A300B2 ;4; Airbus A300B4 ;6; Airbus A310-200 ;1; Airbus A310-300 ;2; Airbus A320-200 ;6; Boeing 747-200 ;5; Boeing 747SP ;4;;;;;;;;;;;;;;
IT;Kingfisher Airlines;Kingfisher Airlines Limited ;7kgs;55cm x 35cm x 25cm ;;; Repas et boissons inclus  ;NON;;8,86256E+11;tigerairways.com;;Bangalore (BLR) ;;38481;;;;;5.7 ;51;King Club ; Airbus A319-100 ;3; Airbus A320-200 ;10; Airbus A321-200 ;6; ATR 42/72-ATR 42 ;2; ATR 42/72-ATR 72 ;23; Kingfisher Airlines a rejoint l'alliance Oneworld . ;;;;;;;;;;;;;;;;;;;
IV;Wind Jet;;10 kg;;;20 kg; Tous les services sont payants  ;NON;;;;;Catane - Fontanarossa (CTA) ;;;;;;;13.9 ;13;; Airbus A319-100 ;5; Airbus A320-200 ;7;;;;;;;;;;;;;;;;;;;;;;;;;;
IW;Wings Air;Wings Abadi Airlines ;;;;;  ;NON;;;lionair.co.id;;;;2003;;;;;2.9 ;48;; ATR 42/72-ATR 72 ;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IX;Air India Express;;;;;;  ;NON;;;airindiaexpress.in;;;;38412;;;;;8.1 ;17;; Boeing 737-800 ;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IY;Yemenia - Yemen Airways;;;55x 35 x 25 cm;;20 kg;  ;NON;;00962 6 565 2713;http://www.yemenia.com;Yémen;Aéroport international de Sanaa;Sanaa;22497;;;;;15;10;; Airbus A310-300 ;3; Airbus A320-200 ;2; Airbus A330-200 ;2; De-Havilland-Canada DHC-8-100 ;3;;;;;;;;;;;;;;;;;;;;;;
IZ;Arkia - Israeli Airlines;;7 kg;55 x 40 x 20 cm;;20kg;  ;NON;;+972 3 6902210;arkia.com;Israël;Aéroport International David Ben Gourion;Lod;;;;;;11.6 ;9;; ATR 42/72-ATR 72 ;5; Boeing 757-300 ;2; Embraer ERJ-190 ;1; Embraer ERJ-195 ;1;;;;;;;;;;;;;;;;;;;;;;
J2;AZAL Azerbaijan Airlines;Azerbaycan Hava Yollary ;5 kg;55 x 40 x 20 cm;;23kg;  ;NON;;+994 12 598 88 80;azal.az;Azerbaïdjan;Aéroport international Heydar Aliyev de Bakou;Bakou;33701;;;;;9.2 ;26;; Airbus A319-100 ;4; Airbus A320-200 ;7; Airbus A340-500 ;2; Boeing 757-200 ;4; Boeing 767-300 ;3; Embraer ERJ-170 ;1; Embraer ERJ-190 ;4;;;;;;;;;;;;;;;;
J8;Berjaya Air;;;;;;  ;NON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
J9;Jazeera Airways;;;;;;  ;NON;;9652248940;jazeeraairways.com;;;;2004;;;;;4.2 ;8;; Airbus A320-200 ;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JA;BH Airlines;JP B&H Airlines d.o.o. ;;;;;  ;NON;;(+56 2) 27 31 8787;jetsmart.com;;;;;;;;;18.8 ;2;; ATR 42/72-ATR 72 ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JD;Capital Airlines;Beijing Capital Airlines ;;;;;  ;NON;;8695071999;jdair.net;;Pékin - Capitale (PEK) ;;40302;;;;;4.4 ;49;; Airbus A319-100 ;26; Airbus A320-200 ;19; Gulfstream-Aerospace G-V Gulfstream ;1; Gulfstream-Aerospace G550 ;2; Hawker-Beechcraft Hawker 4000 ;1;;;;;;;;;;;;;;;;;;;;
JE;Mango;;7kgs;56cm x 36cm x 23cm ;;;  ;NON;;+27 11 359 1222;flymango.com;;Johannesbourg - Tambo (JNB) ;;2006;;;;;13.5 ;9;; Boeing 737-300 ;1; Boeing 737-800 ;8;;;;;;;;;;;;;;;;;;;;;;;;;;
JJ;TAM;;;;;; Repas et boissons inclus dans le billet  ;NON;;;;;São Paulo - Guarulhos (GRU) ;;22333;;;;;7.3 ;157;Fidelidade ; Airbus A319-100 ;30; Airbus A320-200 ;91; Airbus A321-200 ;9; Airbus A330-200 ;20; Boeing 767-300 ;3; Boeing 777-300 ;4;;;;;;;;;;;;;;;;;;
JK;Spanair;;;55 cm x 40 cm x 20 cm;;23 kg; Repas et boissons à la charge du client  ;NON;;Aucun;;Espagne;Barcelone (BCN) ;Barcelone, Espagne;31747;40935;;;;11.8 ;30;SpanairStar ; Airbus A320-200 ;20; Airbus A321-200 ;5; McDonnell-Douglas MD-82 ;1; McDonnell-Douglas MD-83 ;3; McDonnell-Douglas MD-87 ;1;;;;;;;;;;;;;;;;;;;;
JL;Japan Airlines;Japan Airlines Co., Ltd ;10 kg;55 x 40 x 25 cm;203 cm cumulés;23 kg; Repas et boissons inclus dans le billet  ;NON;OneWorld;08 10 74 77 00;JAL.com;Japon;Tokyo - Narita (NRT) ;Shinagawa-ku, Tokyo 140-8605;18841;;;;;9.6 ;124;JAL Mileage Bank ; Boeing 737-800 ;12; Boeing 767-300 ;49; Boeing 777-200 ;26; Boeing 777-300 ;20; Boeing 787-8 Dreamliner ;4; McDonnell-Douglas MD-90 ;13;;;;;;;;;;;;;;;;;;
JN;Livingston;New Livingston S.p.A ;12 kg;55 x 35 x 25 cm;158 cm cumulés;23 kg;  ;NON;;+33 (0)892 702 654;flyjoon.com;;Milan - Malpensa (MXP) ;;2011;;;;;9.6 ;3;; Airbus A320-200 ;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JO;Jettime Finland;;5 kg;55 x 40 x 23 cm;;20 kg;  ;NON;;;royalwings.com.jo;;;;;;;;;15.6 ;2;; Boeing 737-700 ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JP;Adria Airways;Adria Airways d.d. ;8 kg;55 x 40 x 23 cm;;22 kg; Repas et boissons inclus dans le billet  ;NON;Star Alliance;+386 1 369 10 10;adria.si;Slovénie;Ljubljana (LJU) ;Ljubljana;22354;;;;;7.7 ;13;; Airbus A319-100 ;2; Airbus A320-200 ;1; Canadair CRJ-200 ;6; Canadair CRJ-900 ;4;;;;;;;;;;;;;;;;;;;;;;
JQ;JetStar Airways;;7kgs;56cm x 36cm x 23cm ;;20 kg; Tous les services sont payants  ;NON;;+61 3 8341 4901;jetstar.com;Australie;Melbourne - Tullamarine (MEL) ;Melbourne;2003;;;;;4.8 ;64;; Airbus A320-200 ;47; Airbus A321-200 ;6; Airbus A330-200 ;11;;;;;;;;;;;;;;;;;;;;;;;;
JT;Lion Airlines;PT Lion Mentari Airlines ;;40 cm x 30 cm x 20 cm;;20 kg;  ;NON;;+62 21 6387 1111;lionair.co.id;Indonésie Bali;Jakarta - Soekarno-Hatta (CGK) ;Jakarta;36434;;;;;4.8 ;92;; Boeing 737-300 ;2; Boeing 737-400 ;5; Boeing 737-800 ;15; Boeing 737-900 ;67; Boeing 747-400 ;2; McDonnell-Douglas MD-82 ;1;;;;;;;;;;;;;;;;;;
JU;Air Serbia;;8kgs;55cm x 40cm x 20cm ;;23kg;  ;NON;;01 42 66 32 39;airserbia.com;Serbie;Belgrade - Nikola Tesla (BEG) ;Belgrade;41487;;;;;13.6 ;13;; Airbus A319-100 ;6; Airbus A320-200 ;1; ATR 42/72-ATR 72 ;5;;;;;;;;;;;;;;;;;;;;;;;;
JV;Bearskin Airlines;;;;;;  ;NON;;;bearskinairlines.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JW;Vanilla Air;Vanilla Air Inc. ;;;;;  ;NON;;+81 47 6205 216;vanilla-air.com;;;;41579;;;;;1.6 ;8;; Airbus A320-200 ;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JY;Interisland Airways;;;;;;  ;NON;;+1 (649) 946-3759;intercaribbean.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
K2;Eurolot;Eurolot S.A. ;;;;;  ;NON;;;;;Varsovie - F. Chopin (WAW) ;;35418;;;;;3.2 ;12;; ATR 42/72-ATR 72 ;1; De-Havilland-Canada DHC-8-400 ;11;;;;;;;;;;;;;;;;;;;;;;;;;;
